70124-77-5 CC(C)C(C1CCC(CC1)OC(F)F)C(=O)OC(C#N)C2CCCC(C2)OC3CCCCC3
108-38-3 Cc1cccc(C)c1
93-71-0 ClCC(=O)N(CC=C)CC=C
51218-45-2 CCc1cccc(C)c1N(C(C)COC)C(=O)CCl
101-21-3 CC(C)OC(=O)Nc1cccc(Cl)c1
122-14-5 COP(=S)(OC)Oc1ccc(c(C)c1)[N+](=O)[O-]
351-83-7 CC(=O)Nc1ccc(F)cc1
333-41-5 CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C
86-50-0 COP(=S)(OC)SCN1N=Nc2ccccc2C1=O
563-12-2 CCOP(=S)(OCC)SCSP(=S)(OCC)OCC
6933-10-4 Cc1cc(N)ccc1Br
528-45-0 [O-]C(=O)c1ccc(c(c1)[N+](=O)[O-])[N+](=O)[O-]
106-30-9 CCCCCCC(=O)OCC
53-70-3 c1ccc2c(c1)ccc3cc4c(ccc5ccccc45)cc23
120-12-7 c1ccc2cc3ccccc3cc2c1
108-90-7 Clc1ccccc1
134-32-7 Nc1cccc2ccccc12
1024-57-3 ClC1C2OC2C3C1C4(Cl)C(=C(Cl)C3(Cl)C4(Cl)Cl)Cl
1165-39-5 COc1cc2OC3OC=CC3c2c4OC(=O)C5=C(CCOC5=O)c14
95-57-8 Oc1ccccc1Cl
154-23-4 O[C@H]1Cc2c(O)cc(O)cc2O[C@@H]1c3ccc(O)c(O)c3
106-93-4 BrCCBr
26225-79-6 CCOC1Oc2ccc(OS(=O)(=O)C)cc2C1(C)C
59756-60-4 C[NH+]1C=C(C(=O)C(=C1)c2cccc(c2)C(F)(F)F)c3ccccc3
27554-26-3 CC(C)CCCCCOC(=O)c1ccccc1C(=O)OCCCCCC(C)C
95-50-1 Clc1ccccc1Cl
335-67-1 [O-]C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
29091-21-2 CCC[NH+](CCC)c1c(cc(c(N)c1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-]
1114-71-2 CCCCN(CC)C(=O)SCCC
759-94-4 CCCN(CCC)C(=O)SCC
300-76-5 COP(=O)(OC)OC(Br)C(Cl)(Cl)Br
66441-23-4 CCOC(=O)C(C)Oc1ccc(Oc2oc3cc(Cl)ccc3n2)cc1
5915-41-3 CCNc1nc(Cl)nc(NC(C)(C)C)n1
74115-24-5 Clc1ccccc1c2nnc(nn2)c3ccccc3Cl
80-05-7 CC(C)(c1ccc(O)cc1)c2ccc(O)cc2
32809-16-8 CC12CC1(C)C(=O)N(C2=O)c3cc(Cl)cc(Cl)c3
117-84-0 CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC
123-91-1 C1COCCO1
1918-16-7 CC(C)N(C(=O)CCl)c1ccccc1
108-68-9 Cc1cc(C)cc(O)c1
132-64-9 o1c2ccccc2c3ccccc13
593-92-0 BrC(=C)Br
2425-06-1 ClC(Cl)C(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O
62-53-3 Nc1ccccc1
84-69-5 CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C
41198-08-7 CCCSP(=O)(OCC)Oc1ccc(Br)cc1Cl
351-28-0 CC(=O)Nc1cccc(F)c1
944-22-9 CCOP(=S)(CC)Sc1ccccc1
779-02-2 Cc1c2ccccc2cc3ccccc13
16752-77-5 CNC(=O)O\N=C(/C)\SC
66215-27-8 Nc1nc(N)nc(NC2CC2)n1
108-60-1 CC(CCl)OC(C)CCl
3383-96-8 COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1
78-59-1 CC1=CC(=O)CC(C)(C)C1
90-12-0 Cc1cccc2ccccc12
526-73-8 Cc1cccc(C)c1C
120-36-5 CC(Oc1ccc(Cl)cc1Cl)C(=O)[O-]
34014-18-1 CNC(=O)N(C)c1nnc(s1)C(C)(C)C
81-81-2 CC(=O)CC(C1=C([O-])Oc2ccccc2C1=O)c3ccccc3
634-90-2 Clc1cc(Cl)c(Cl)c(Cl)c1
71-36-3 CCCCO
71-55-6 CC(Cl)(Cl)Cl
21087-64-9 CSC1=NN=C(C(=O)N1N)C(C)(C)C
92-82-0 c1ccc2nc3ccccc3nc2c1
57-63-6 C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@]2(O)C#C
53-96-3 CC(=O)Nc1ccc2c(Cc3ccccc23)c1
91-94-1 Nc1ccc(cc1Cl)c2ccc(N)c(Cl)c2
108-62-3 CC1OC(C)OC(C)OC(C)O1
99-09-2 Nc1cccc(c1)[N+](=O)[O-]
3060-89-7 CON(C)C(=O)Nc1ccc(Br)cc1
95-14-7 c1ccc2[nH]nnc2c1
93-65-2 CC(Oc1ccc(Cl)cc1C)C(=O)[O-]
94-75-7 [O-]C(=O)COc1ccc(Cl)cc1Cl
66841-25-6 CC1(C)C(C(Br)C(Br)(Br)Br)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2
298-02-2 CCOP(=S)(OCC)SCSCC
