696-44-6 CNc1cccc(C)c1
634-91-3 Nc1cc(Cl)c(Cl)c(Cl)c1
112-40-3 CCCCCCCCCCCC
103-69-5 CCNc1ccccc1
106-48-9 Oc1ccc(Cl)cc1
121-44-8 CC[NH+](CC)CC
76-03-9 [O-]C(=O)C(Cl)(Cl)Cl
91-96-3 CC(=O)[CH-]C(=O)Nc1ccc(cc1C)c2ccc(NC(=O)[CH-]C(=O)C)c(C)c2
120-83-2 Oc1ccc(Cl)cc1Cl
1687-30-5 [O-]C(=O)C1CCCCC1C(=O)[O-]
84-74-2 CCCCOC(=O)c1ccccc1C(=O)OCCCC
59722-76-8 Nc1c(Oc2ccc(Br)cc2)cc(O)c3C(=O)c4ccccc4C(=O)c13
94-52-0 [O-][N+](=O)c1ccc2[nH]cnc2c1
118-96-7 Cc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
115-96-8 ClCCOP(=O)(OCCCl)OCCCl
18708-70-8 [O-][N+](=O)c1c(Cl)cc(Cl)cc1Cl
118-91-2 [O-]C(=O)c1ccccc1Cl
78-79-5 CC(=C)C=C
15087-24-8 CC1(C)C2CCC1(C)C(=O)C2=Cc3ccccc3
90-51-7 Nc1ccc2cc(cc(O)c2c1)S(=O)(=O)[O-]
102-70-5 C=CC[NH+](CC=C)CC=C
38640-62-9 CC(C)c1ccc2ccccc2c1C(C)C
1912-24-9 CCNc1nc(Cl)nc(NC(C)C)n1
29761-21-5 CC(C)CCCCCCCOP(=O)(Oc1ccccc1)Oc2ccccc2
610-39-9 Cc1ccc(c(c1)[N+](=O)[O-])[N+](=O)[O-]
56-38-2 CCOP(=S)(OCC)Oc1ccc(cc1)[N+](=O)[O-]
141-93-5 CCc1cccc(CC)c1
102-06-7 N=C(Nc1ccccc1)[NH2+]c2ccccc2
89-69-0 [O-][N+](=O)c1cc(Cl)c(Cl)cc1Cl
98-82-8 CC(C)c1ccccc1
67-68-5 CS(=O)C
91-22-5 c1ccc2ncccc2c1
25167-93-5 [O-][N+](=O)c1ccccc1Cl
81-16-3 Nc1ccc2ccccc2c1S(=O)(=O)[O-]
124-11-8 CCCCCCCC=C
156-43-4 CCOc1ccc(N)cc1
879-39-0 [O-][N+](=O)c1cc(Cl)c(Cl)c(Cl)c1Cl
13684-56-5 CCOC(=O)Nc1cccc(OC(=O)Nc2ccccc2)c1
89-61-2 [O-][N+](=O)c1cc(Cl)ccc1Cl
36734-19-7 CC(C)NC(=O)N1CC(=O)N(C1=O)c2cc(Cl)cc(Cl)c2
95-82-9 Nc1cc(Cl)ccc1Cl
100-17-4 COc1ccc(cc1)[N+](=O)[O-]
335-76-2 [O-]C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
82-44-0 Clc1cccc2C(=O)c3ccccc3C(=O)c12
