CAS-Number,X%,EHOMO,Mor29u,NdsCH,GATS1e,X3A,1/T,SdsCH,nR=Cp,F02[F-Br],RDF015m,BIC1,SpMin8_Bh(p),NssssC
000112-36-7,0,-0.26183,-0.967,0,0.921,0.276,0.003356 ,0,0,0,7.953,0.312,0.599,0
000115-11-7,0,-0.25118,-0.368,0,1.5,0,0.003356 ,0,1,0,2.056,0.546,0,0
000116-09-6,0,-0.26325,-0.261,0,0.84,0.408,0.003356 ,0,0,0,2.645,0.695,0,0
000120-12-7,0,-0.20495,-0.202,0,0.758,0.178,0.003356 ,0,0,0,7.125,0.292,0.278,0
000120-80-9,0,-0.22156,0.227,0,1.07,0.231,0.003356 ,0,0,0,2.441,0.547,0,0
000121-46-0,0,-0.23073,-0.35,4,0.938,0.188,0.003356 ,9.185,0,0,4.802,0.521,0,0
000123-35-3,0,-0.23759,-0.713,2,1.3,0.272,0.003356 ,4.035,2,0,5.982,0.54,0.293,0
000123-35-3,0,-0.23759,-0.713,2,1.3,0.272,0.002833 ,4.035,2,0,5.982,0.54,0.293,0
000123-35-3,0,-0.23759,-0.713,2,1.3,0.272,0.002481 ,4.035,2,0,5.982,0.54,0.293,0
000123-72-8,0,-0.26421,-0.389,1,0.506,0.354,0.003356 ,0.931,0,0,2.754,0.591,0,0
000124-40-3,0,-0.22626,-0.085,0,1.379,0,0.003356 ,0,0,0,1.947,0.496,0,0
000127-18-4,66.7,-0.26844,-0.034,0,1.5,0.333,0.003356 ,0,2,0,0.139,0.355,0,0
000132-64-9,0,-0.23381,0.218,0,0.787,0.17,0.003367 ,0,0,0,5.499,0.389,0.061,0
000132-64-9,0,-0.23381,0.218,0,0.787,0.17,0.002591 ,0,0,0,5.499,0.389,0.061,0
000141-32-2,0,-0.28501,-0.685,1,0.71,0.285,0.003401 ,1.176,1,0,4.944,0.608,0,0
000141-78-6,0,-0.28284,-0.461,0,0.73,0.289,0.003356 ,0,0,0,3.154,0.55,0,0
000142-82-5,0,-0.30867,-1.02,0,1.643,0.302,0.001193 ,0,0,0,5.393,0.258,0,0
000142-82-5,0,-0.30867,-1.02,0,1.643,0.302,0.001070 ,0,0,0,5.393,0.258,0,0
000142-82-5,0,-0.30867,-1.02,0,1.643,0.302,0.000903 ,0,0,0,5.393,0.258,0,0
000142-82-5,0,-0.30867,-1.02,0,1.643,0.302,0.000858 ,0,0,0,5.393,0.258,0,0
000142-82-5,0,-0.30867,-1.02,0,1.643,0.302,0.000798 ,0,0,0,5.393,0.258,0,0
000151-56-4,0,-0.25683,-0.152,0,1.217,0,0.003356 ,0,0,0,3.135,0.583,0,0
000156-60-5,33.3,-0.26866,-0.154,2,0.62,0.5,0.003356 ,2.475,2,0,0.062,0.613,0,0
000206-44-0,0,-0.2247,-0.058,0,0.7,0.157,0.002591 ,0,0,0,8.641,0.294,0.524,0
000208-96-8,0,-0.22684,-0.158,2,0.72,0.167,0.003378 ,4.356,0,0,6.545,0.423,0.081,0
000280-33-1,0,-0.28417,-0.791,0,1.255,0.197,0.003356 ,0,0,0,7.19,0.274,0.134,0
000287-92-3,0,-0.31513,-0.715,0,1.4,0.25,0.003333 ,0,0,0,4.045,0.235,0,0
000287-92-3,0,-0.31513,-0.715,0,1.4,0.25,0.002564 ,0,0,0,4.045,0.235,0,0
000291-64-5,0,-0.30164,-0.976,0,1.429,0.25,0.003356 ,0,0,0,5.765,0.209,0,0
000291-64-5,0,-0.30164,-0.976,0,1.429,0.25,0.002564 ,0,0,0,5.765,0.209,0,0
000292-64-8,0,-0.29149,-1.161,0,1.438,0.25,0.002667 ,0,0,0,6.747,0.2,0.338,0
000311-89-7,67.5,-0.36698,-0.705,0,1.625,0.175,0.003356 ,0,0,0,12.009,0.281,0.81,12
000353-36-6,12.5,-0.34061,-0.227,0,0.508,0,0.003356 ,0,0,0,1.652,0.552,0,0
000354-23-4,62.5,-0.34174,-0.056,0,1.115,0.289,0.003356 ,0,0,0,1.384,0.768,0,1
000371-62-0,11.1,-0.29919,-0.13,0,0.783,0.5,0.003356 ,0,0,0,2.321,0.76,0,0
000406-58-6,35.7,-0.36759,-0.33,0,0.682,0.177,0.003356 ,0,0,0,4.199,0.581,0,2
000421-14-7,33.3,-0.34597,-0.104,0,0.876,0.354,0.003356 ,0,0,0,1.586,0.704,0,1
000422-05-9,41.7,-0.32378,-0.147,0,0.981,0.243,0.003597 ,0,0,0,3.158,0.708,0,2
000422-05-9,41.7,-0.32378,-0.147,0,0.981,0.243,0.002793 ,0,0,0,3.158,0.708,0,2
000431-03-8,0,-0.25807,-0.389,0,0.517,0.333,0.003356 ,0,0,0,2.726,0.484,0,0
000460-12-8,0,-0.27511,0.024,0,0.75,0.5,0.003356 ,0,0,0,0.162,0.5,0,0
000461-18-7,20,-0.29582,-0.266,0,0.699,0.256,0.003704 ,0,0,0,4.173,0.636,0,1
000461-18-7,20,-0.29582,-0.266,0,0.699,0.256,0.003096 ,0,0,0,4.173,0.636,0,1
000463-82-1,0,-0.32304,-0.534,0,1.7,0,0.003356 ,0,0,0,3.409,0.272,0,1
000488-17-5,0,-0.22099,0.021,0,1.046,0.222,0.003356 ,0,0,0,3.549,0.67,0,0
000496-16-2,0,-0.22132,-0.151,0,0.806,0.189,0.003356 ,0,0,0,5.054,0.609,0,0
000499-94-5,0,-0.23385,-0.895,1,1.35,0.215,0.003356 ,2.411,0,0,8.178,0.435,0.419,0
000503-30-0,0,-0.25534,-0.233,0,0.829,0.25,0.003356 ,0,0,0,3.752,0.473,0,0
000505-29-3,0,-0.22779,-0.489,0,0.737,0.25,0.003356 ,0,0,0,1.879,0.362,0,0
000507-55-1,63.6,-0.3412,-0.095,0,1.196,0.225,0.003356 ,0,0,0,2.36,0.669,0,2
000513-35-9,0,-0.236,-0.379,1,1.5,0.408,0.003356 ,2.083,0,0,3.058,0.432,0,0
000526-73-8,0,-0.23769,-0.588,0,1.111,0.222,0.003356 ,0,0,0,5.159,0.464,0,0
000540-54-5,9.1,-0.2979,-0.327,0,0.51,0.5,0.003356 ,0,0,0,1.852,0.504,0,0
000541-05-9,0,-0.2738,-1.118,0,2.044,0.16,0.003356 ,0,0,0,1.112,0.32,0,0
000543-59-9,5.9,-0.29591,-0.632,0,0.542,0.319,0.003356 ,0,0,0,3.651,0.392,0,0
000544-40-1,0,-0.2185,-0.932,0,1.14,0.285,0.003356 ,0,0,0,5.426,0.326,0.44,0
000554-61-0,0,-0.24351,-0.969,2,1.204,0.163,0.003356 ,4.747,0,0,9.595,0.465,0.233,1
