CAS #,X1sol/T,Mor13v/T,H050/T,R5v/T,TO..Cl/T,HATS5v/T,RDF035m/T,RCl/T,nCOOR/T,Mor15u/T,RDF90m/T,1/T
051570-45-7,0.023973387,-0.001120223,0,0.000550828,0,0.001900046,0.001284233,0.00442519,0,0.000358966,0,0.003094538
150224-21-8,0.028385041,-0.001291296,0,0.000352172,0,0.001096763,0.001033037,0.004796244,0,0.00032534,0,0.003354016
150224-21-8,0.029888752,-0.001359703,0,0.000370828,0,0.001154865,0.001087763,0.005050327,0,0.000342575,0,0.003531697
150224-21-8,0.02886918,-0.001313321,0,0.000358178,0,0.00111547,0.001050657,0.004878049,0,0.000330889,0,0.003411223
150224-21-8,0.027916873,-0.001269998,0,0.000346363,0,0.001078674,0.001015999,0.004717137,0,0.000319974,0,0.003298697
150224-21-8,0.027025387,-0.001229443,0,0.000335303,0,0.001044228,0.000983554,0.004566502,0,0.000309756,0,0.003193358
150224-21-8,0.026189076,-0.001191397,0,0.000324927,0,0.001011914,0.000953118,0.00442519,0,0.00030017,0,0.003094538
067922-21-8,0.025983565,-0.0012108,0,0.000372296,0,0.000861982,0.001381855,0.004762703,0,0.000177763,0,0.003354016
006529-87-9,0.026040584,-0.00124434,0,0.000529935,0,0.001958746,0.001230924,0.004796244,0,0.000372296,0,0.003354016
006529-87-9,0.027420095,-0.00131026,0,0.000558008,0,0.002062511,0.001296133,0.005050327,0,0.000392018,0,0.003531697
006529-87-9,0.026484735,-0.001265564,0,0.000538973,0,0.001992154,0.001251919,0.004878049,0,0.000378646,0,0.003411223
006529-87-9,0.025611084,-0.001223817,0,0.000521194,0,0.001926439,0.001210622,0.004717137,0,0.000366155,0,0.003298697
006529-87-9,0.02479323,-0.001184736,0,0.000504551,0,0.001864921,0.001171962,0.004566502,0,0.000354463,0,0.003193358
006529-87-9,0.024025994,-0.001148074,0,0.000488937,0,0.00180721,0.001135695,0.00442519,0,0.000343494,0,0.003094538
000120-82-1,0.016984739,-0.000144223,0,0.000174409,0,0.00040919,0.000754654,0.004695623,0,-0.000647325,0,0.003354016
067922-22-9,0.026040584,-0.001391917,0,0.000258259,0,0.000744592,0.001271172,0.004762703,0,7.71E-05,0,0.003354016
149864-80-2,0.026040584,-0.001230924,0,0.000362234,0,0.000952541,0.001240986,0.004796244,0,0.000352172,0,0.003354016
149864-80-2,0.027420095,-0.001296133,0,0.000381423,0,0.001003002,0.001306728,0.005050327,0,0.000370828,0,0.003531697
149864-80-2,0.026484735,-0.001251919,0,0.000368412,0,0.000968787,0.001262152,0.004878049,0,0.000358178,0,0.003411223
149864-80-2,0.025611084,-0.001210622,0,0.000356259,0,0.00093683,0.001220518,0.004717137,0,0.000346363,0,0.003298697
149864-80-2,0.02479323,-0.001171962,0,0.000344883,0,0.000906914,0.001181542,0.004566502,0,0.000335303,0,0.003193358
149864-80-2,0.024025994,-0.001135695,0,0.00033421,0,0.000878849,0.001144979,0.00442519,0,0.000324927,0,0.003094538
055720-33-7,0.023692772,-0.001398625,0,0.000264967,0,0.000684219,0.001532786,0.004762703,0,0.000127453,0,0.003354016
149864-79-9,0.025983565,-0.001069931,0,0.000550059,0,0.001988932,0.001395271,0.004796244,0,0.000711051,0,0.003354016
051570-44-6,0.023639108,-0.001348315,0,0.000311924,0,0.001267818,0.001814523,0.004796244,0,0.000610431,0,0.003354016
149864-82-4,0.026040584,-0.001271172,0,0.000275029,0,0.00085192,0.001341607,0.004796244,0,0.000452792,0,0.003354016
055720-34-8,0.023639108,-0.001197384,0,0.000539997,0,0.001690424,0.001656884,0.004762703,0,0.000539997,0,0.003354016
000095-50-1,0.016042468,-0.000311184,0,5.49E-05,0,0.000186711,0.000999451,0.005125389,0,-0.000677284,0,0.003660992
000095-50-1,0.015475896,-0.000300194,0,5.30E-05,0,0.000180117,0.000964153,0.004944376,0,-0.000653364,0,0.003531697
000095-50-1,0.014947979,-0.000289954,0,5.12E-05,0,0.000173972,0.000931264,0.004775712,0,-0.000631076,0,0.003411223
000095-50-1,0.0146973,-0.000285091,0,5.03E-05,0,0.000171055,0.000915646,0.004695623,0,-0.000620493,0,0.003354016
000095-50-1,0.0166521,-0.00032301,0,5.70E-05,0,0.000193806,0.001037431,0.00532016,0,-0.000703021,0,0.003800114
000107-06-2,0.008790877,0.000526581,0,0,0,0,0,0,0,0.000137515,0,0.003354016
002050-69-3,0.021348315,-0.001254402,0,0.000335402,0,0.001056515,0.001666946,0.004762703,0,0.000600369,0,0.003354016
053555-64-9,0.025926547,-0.000955895,0,0.000368942,0,0.000972665,0.001455643,0.004796244,0,0.000402482,0,0.003354016
031604-28-1,0.025983565,-0.001271172,0,0.000513165,0,0.001640114,0.001512661,0.004829784,0,0.000865336,0,0.003354016
000108-70-3,0.016931075,1.34E-05,0,5.03E-05,0,0.000211303,0.000892168,0.004662083,0,-0.00030857,0,0.003354016
051570-43-5,0.023639108,-0.001170552,0,0.000439376,0,0.001485829,0.001583096,0.004762703,0,0.000462854,0,0.003354016
051570-43-5,0.0248914,-0.001232562,0,0.000462652,0,0.001564542,0.001666961,0.00501501,0,0.000487374,0,0.003531697
051570-43-5,0.024042299,-0.001190517,0,0.00044687,0,0.001511172,0.001610097,0.004843937,0,0.000470749,0,0.003411223
051570-43-5,0.023249217,-0.001151245,0,0.000432129,0,0.001461323,0.001556985,0.00468415,0,0.00045522,0,0.003298697
051570-43-5,0.022506786,-0.001114482,0,0.00041833,0,0.001414658,0.001507265,0.004534568,0,0.000440683,0,0.003193358
051570-43-5,0.021810305,-0.001079994,0,0.000405384,0,0.00137088,0.001460622,0.004394244,0,0.000427046,0,0.003094538
