CAS,nN,nHM,O%,MATS1e,GATS1p,GATS7p,GGI1,GGI2,nCq,nCrt,C-040,H-048,H-051,O-059
002050-76-2,0,2,5.3,-0.101,0.536,1.127,2.5,2,0,0,0,0,0,0
007267-14-3,0,2,14.3,-0.029,0.646,0.014,3.5,2.667,0,0,2,0,0,0
000840-65-3,0,0,13.3,-0.027,1.102,0.929,4,2.667,0,0,2,0,0,0
000087-02-5,1,1,16,-0.063,1.118,1.377,5.5,2.444,0,0,0,0,0,0
000091-17-8,0,0,0,0.062,1.303,0,1,0.889,0,2,0,0,0,0
003733-79-7,0,0,8.6,0.002,1.189,1.2,6,4,2,2,2,0,2,0
000077-73-6,0,0,0,0.1,0.963,0,1.5,1.333,0,4,0,0,0,0
000208-96-8,0,0,0,0.061,0.72,0,1.5,1.333,0,0,0,0,0,0
000120-12-7,0,0,0,0.055,0.758,1.183,2,1.333,0,0,0,0,0,0
000129-43-1,0,0,12,-0.068,0.716,1.242,2.5,2.444,0,0,0,0,0,0
000082-45-1,1,0,7.7,-0.076,0.693,1.267,2.5,2.444,0,0,0,0,0,0
013654-09-6,0,10,0,0.036,0.837,0.906,5,4.444,0,0,0,0,0,0
000092-88-6,0,0,8.3,-0.155,0.761,1.056,3,1.778,0,0,0,0,0,0
123251-96-7,2,4,17.6,-0.059,1.145,0.651,9,4.444,0,0,0,0,0,0
013540-50-6,0,0,0,0.033,0.969,0.949,3,1.333,0,0,0,0,0,0
000091-60-1,0,1,0,-0.094,0.844,1.425,2,1.111,0,0,0,0,0,0
000090-51-7,1,1,16,-0.063,1.118,0.592,5.5,2.444,0,0,0,0,0,0
006294-31-1,0,1,0,0.037,1.267,1.284,0.5,0.222,0,0,0,0,0,0
007417-99-4,4,0,4.4,-0.054,1.076,1.141,5.5,1.889,0,0,0,0,0,0
000719-96-0,1,3,10,-0.027,0.759,1.246,4.5,2.222,0,0,2,0,0,0
000948-65-2,1,0,0,-0.047,0.786,1.212,2,1.333,0,0,0,0,0,0
000120-78-5,2,4,0,0.021,0.572,1.225,3.5,1.556,0,0,0,0,0,0
000089-25-8,2,0,4.3,0.121,1.056,1.069,2.5,1.333,0,0,1,0,5,0
000094-52-0,3,0,11.8,0.207,0.821,0.034,2.5,1.556,0,0,0,0,0,0
000095-14-7,3,0,0,0.342,0.762,0,1,0.889,0,0,0,0,0,0
000061-82-5,4,0,0,-0.417,1.106,0,1,0.444,0,0,0,0,0,0
016691-43-3,4,1,0,-0.521,0.876,0,2,0.667,0,0,0,0,0,0
000100-43-6,1,0,0,0.058,1.028,0,1,0.444,0,0,0,0,0,0
000462-08-8,2,0,0,-0.246,0.914,0,1,0.444,0,0,0,0,0,0
000626-67-5,1,0,0,0.184,1.629,0,1,0.444,0,0,0,0,0,0
002403-88-5,1,0,3.3,-0.081,1.467,0,6,1.333,0,2,0,0,0,0
000091-22-5,1,0,0,0.052,0.867,0,1,0.889,0,0,0,0,0,0
000091-53-2,1,0,2.9,0.013,1.184,1.009,5,2,0,1,0,0,0,0
003347-22-6,2,2,8.3,-0.01,0.63,1.229,3.5,2.889,0,0,2,0,0,0
000110-91-8,1,0,6.7,-0.047,1.733,0,0,0,0,0,0,0,0,1
000051-52-5,2,1,4.8,-0.116,0.817,1.726,3,0.667,0,0,1,0,0,0
000140-31-8,3,0,0,-0.101,1.628,0.096,1,0.444,0,0,0,0,0,0
000091-76-9,5,0,0,-0.312,0.863,1.079,3,1.111,0,0,0,0,0,0
000108-80-5,3,0,25,-0.484,1.278,0,3,0.667,0,0,0,0,0,0
000839-90-7,3,0,18.2,-0.215,1.629,0.967,3,2.667,0,0,0,0,0,0
040220-08-4,3,0,17.9,-0.158,1.588,0.776,4,3.111,0,0,1,0,0,0
000947-04-6,1,0,2.7,-0.01,1.45,1.09,1,0.444,0,0,1,0,2,0
006674-22-2,2,0,0,0.12,1.437,0,1,0.889,0,0,1,0,2,0
000482-89-3,2,0,6.3,-0.072,0.811,0.878,3,2.667,0,0,0,0,0,0
000091-96-3,2,0,7.7,-0.038,1.082,1.027,8,3.111,0,0,2,0,10,0
071767-67-4,6,2,4.8,0.192,0.846,1.009,5.5,3.333,0,0,2,0,4,0
040690-89-9,5,0,7.4,0.173,1.037,0.942,5.5,3.556,0,0,2,0,2,0
059722-76-8,1,1,10.5,-0.111,0.615,0.873,5,3.333,0,0,0,0,0,0
006358-85-6,6,2,5.7,0.012,0.872,1.139,9,5.333,0,0,2,0,6,0
002425-85-6,3,0,8.3,0.206,0.812,0.993,4.5,3.111,0,0,0,0,0,0
000110-00-9,0,0,11.1,-0.029,1.159,0,0,0,0,0,0,2,0,0
000085-40-5,1,0,10,-0.049,1.06,0,2,1.556,0,2,2,0,2,0
000095-31-8,2,2,0,0.096,0.861,0.836,4.5,1.333,0,0,0,0,0,0
027605-76-1,1,1,12.5,0.112,1.349,1.284,3.5,2.222,0,0,1,0,0,0
003846-71-7,3,0,2,0.167,1.086,1.095,8,3.778,2,0,0,0,0,0
